MSOA21CD,practice_count,DEMENTIA_REGISTER_65_PLUS,DEMENTIA_REGISTER_0_64,total_dementia,total_registered,area_km2,density_65plus,density_0_64,density_total
E02000631,3,91.0,5.0,96.0,28361.0,0.9377868665181945,97.03697423047079,5.331701880795099,102.3686761112659
E02000632,2,74.0,4.0,78.0,32047.0,0.4947775214608693,149.5621704508912,8.084441645994119,157.6466120968853
E02000633,1,23.0,0.0,23.0,7835.0,0.48513818179004886,47.409173021870316,0.0,47.409173021870316
E02000634,1,33.0,2.0,35.0,7869.0,0.6395347943599252,51.60000720997184,3.1272731642407177,54.72728037421256
E02000636,1,49.0,3.0,52.0,21251.0,0.8880567735752738,55.17665250469107,3.378162398246392,58.55481490293746
E02000637,1,34.0,0.0,34.0,12840.0,0.6306608752256954,53.9117001476148,0.0,53.9117001476148
E02000639,1,35.0,0.0,35.0,8048.0,0.5755623973009653,60.8100879489844,0.0,60.8100879489844
E02000642,2,51.0,0.0,51.0,14707.0,1.0941381587263312,46.61202937969761,0.0,46.61202937969761
E02000643,1,33.0,2.0,35.0,19591.0,0.6853848978123792,48.14812830765581,2.9180683822821702,51.06619668993798
E02000645,2,54.0,1.0,55.0,18923.0,1.1513980379293742,46.89950670500649,0.868509383426046,47.76801608843253
E02000646,4,117.0,15.0,132.0,43620.0,1.0548343321487528,110.91789149644464,14.220242499544185,125.13813399598882
E02000647,1,22.0,0.0,22.0,5676.0,1.0655793642621383,20.646045463947143,0.0,20.646045463947143
E02000648,1,104.0,5.0,109.0,15799.0,0.563428706530138,184.58413423852943,8.874237223006222,193.45837146153568
E02000651,1,68.0,3.0,71.0,12170.0,1.040467470621433,65.35523879414134,2.8833193585650596,68.2385581527064
E02000652,1,52.0,1.0,53.0,10578.0,0.7085718068223793,73.38705759857457,1.4112895692033571,74.79834716777792
E02000653,1,26.0,0.0,26.0,13141.0,0.773369411342603,33.61912123581778,0.0,33.61912123581778
E02000654,1,18.0,1.0,19.0,15772.0,0.9604910077123624,18.74041490807007,1.0411341615594483,19.781549069629516
E02000657,2,21.0,2.0,23.0,15871.0,0.6938128307210899,30.26752903686487,2.8826218130347496,33.15015084989962
E02000658,1,46.0,2.0,48.0,8787.0,0.8106528346618322,56.744389254111624,2.4671473588744184,59.211536612986045
E02000661,1,98.0,1.0,99.0,12096.0,1.3317425097038345,73.58779890700806,0.7508959072143679,74.33869481422242
E02000662,1,11.0,0.0,11.0,6622.0,0.8405979076889512,13.085923601977798,0.0,13.085923601977798
E02000663,1,222.0,8.0,230.0,51928.0,0.618528716389285,358.9162380300534,12.933918487569493,371.8501565176229
E02000665,1,44.0,3.0,47.0,13974.0,0.7519656675780305,58.51330971228707,3.9895438440195727,62.50285355630664
E02000668,1,23.0,3.0,26.0,7382.0,0.9433500394321671,24.38119365940181,3.1801556947045837,27.561349354106394
E02000669,1,25.0,3.0,28.0,11419.0,0.6744449601657226,37.06751696069769,4.448102035283722,41.51561899598141
E02000671,3,183.0,10.0,193.0,768.0,1.0565244595343048,173.209430551814,9.464996205017158,182.67442675683117
E02000672,1,83.0,5.0,88.0,20417.0,1.0784807364294453,76.96011360832489,4.636151422188246,81.59626503051314
E02000674,2,126.0,10.0,136.0,21754.0,0.8782062006929068,143.47427734008903,11.386847407943574,154.8611247480326
E02000676,1,39.0,0.0,39.0,9690.0,0.7131827882653902,54.684438045478025,0.0,54.684438045478025
E02000679,1,72.0,2.0,74.0,17557.0,0.8901039876635939,80.88942527826501,2.246928479951806,83.13635375821681
E02000681,1,57.0,1.0,58.0,14445.0,1.351632040813266,42.17124060310346,0.7398463263702362,42.9110869294737
E02000685,1,48.0,7.0,55.0,13007.0,0.9613047380041196,49.93213712818952,7.281769997860971,57.21390712605049
E02000689,1,7.0,0.0,7.0,5888.0,2.022618449053439,3.4608603532099274,0.0,3.4608603532099274
E02000690,1,148.0,1.0,149.0,13252.0,5.332144833190886,27.75618529315776,0.1875417925213362,27.943727085679097
E02000691,1,12.0,1.0,13.0,5416.0,0.8556003863983499,14.025239107843328,1.1687699256536106,15.19400903349694
E02000692,1,37.0,1.0,38.0,14887.0,1.0945444025838102,33.80401919982125,0.9136221405357094,34.717641340356955
E02000693,1,21.0,2.0,23.0,10680.0,1.0278436137739335,20.43112368319758,1.9458213031616742,22.376944986359256
E02000694,2,41.0,3.0,44.0,13854.0,0.8317302748800937,49.29482698692285,3.606938560018745,52.9017655469416
E02000697,1,62.0,1.0,63.0,10943.0,1.1076188701607748,55.975933301859044,0.9028376339009523,56.878770935759995
E02000698,1,118.0,4.0,122.0,18505.0,1.7079805539331856,69.08743763403294,2.341947038441795,71.42938467247474
E02000699,1,226.0,5.0,231.0,32458.0,0.9502650823184038,237.8283746348101,5.261689704309958,243.09006433912006
E02000700,1,101.0,3.0,104.0,8022.0,0.9116036271122326,110.79376715508101,3.2909039749033964,114.08467112998441
E02000701,1,34.0,2.0,36.0,11097.0,0.7988943059278223,42.55882129553167,2.5034600762077455,45.062281371739424
E02000705,1,75.0,7.0,82.0,9686.0,1.294291759193232,57.94674922967105,5.408363261435965,63.355112491107015
E02000706,2,126.0,6.0,132.0,15651.0,0.8083406434110869,155.87487902166745,7.422613286746069,163.29749230841352
E02000708,2,125.0,6.0,131.0,16390.0,1.6779978507644464,74.49353999056297,3.5756899195470226,78.06922991011
E02000784,1,111.0,2.0,113.0,9628.0,2.5796613941197837,43.02890303860005,0.7752955502450459,43.8041985888451
E02000786,1,54.0,2.0,56.0,13768.0,1.9711770153060069,27.394799949824396,1.0146222203638666,28.409422170188265
E02000788,2,222.0,5.0,227.0,28947.0,1.0676834749553297,207.92679216964387,4.6830358596766635,212.60982802932054
E02000790,1,25.0,2.0,27.0,7630.0,0.7475777857496237,33.44133610782934,2.675306888626347,36.11664299645569
E02000792,1,76.0,3.0,79.0,8667.0,1.1452846702454171,66.35904764508405,2.6194360912533172,68.97848373633735
E02000796,3,105.0,2.0,107.0,14694.0,1.7458435105323935,60.14284749266006,1.1455780474792392,61.2884255401393
E02000797,3,199.0,4.0,203.0,34257.0,0.9932234541632434,200.35773336388905,4.027291122892242,204.38502448678128
E02000798,1,12.0,0.0,12.0,3731.0,2.377270910164578,5.0478050056016714,0.0,5.0478050056016714
E02000799,1,30.0,2.0,32.0,8342.0,1.4718712430392131,20.38221763070396,1.3588145087135972,21.741032139417555
E02000801,1,22.0,1.0,23.0,5212.0,0.9101477777755452,24.171898824792272,1.0987226738541942,25.270621498646467
E02000802,1,53.0,4.0,57.0,8601.0,1.5176314001020719,34.92284094572329,2.635686109111192,37.55852705483448
E02000804,1,96.0,4.0,100.0,12551.0,3.705712549181403,25.90594891695162,1.0794145382063176,26.985363455157938
E02000805,1,112.0,4.0,116.0,8895.0,2.5311229685386385,44.24913423493762,1.5803262226763435,45.82946045761396
E02000806,2,192.0,2.0,194.0,18513.0,6.675020092510954,28.763958361026447,0.29962456626069217,29.06358292728714
E02000808,1,28.0,1.0,29.0,9548.0,1.0198088780876449,27.456124967754608,0.9805758917055216,28.436700859460128
E02000810,2,319.0,9.0,328.0,11316.0,0.684263852346671,466.1944349478568,13.152821048685615,479.3472559965424
E02000813,2,67.0,5.0,72.0,20966.0,0.8498142140233131,78.84076177403404,5.883638938360749,84.72440071239478
E02000815,1,25.0,0.0,25.0,16943.0,0.40127267817903023,62.3017747269753,0.0,62.3017747269753
E02000818,1,35.0,3.0,38.0,15941.0,0.5855032067645787,59.77764014890004,5.123797727048575,64.90143787594862
E02000821,4,81.0,6.0,87.0,28932.0,0.7589998970650907,106.71938206212108,7.905139412008969,114.62452147413006
E02000824,1,17.0,5.0,22.0,17226.0,1.1228615831511504,15.139889239323633,4.452908599801068,19.5927978391247
E02000825,2,46.0,7.0,53.0,20401.0,0.52145009333042,88.21553699646539,13.424103455983865,101.63964045244926
E02000826,3,60.0,2.0,62.0,20254.0,0.564473721107558,106.29369934577922,3.543123311525974,109.83682265730519
E02000827,1,27.0,2.0,29.0,9092.0,0.6764757308052877,39.91274005921655,2.9564992636456706,42.86923932286223
E02000828,2,62.0,3.0,65.0,22726.0,0.5965530386138383,103.9304068319966,5.028890653161126,108.95929748515773
E02000831,2,54.0,2.0,56.0,13264.0,0.6878939738925338,78.50046962097119,2.907424800776711,81.4078944217479
