PRACTICE_NAME,PRACTICE_POSTCODE,latitude,longitude,MSOA21CD,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,PAT_LIST_0_64,PAT_LIST_65_PLUS,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE
QUEENS ROAD SURGERY,SE15 2UA,51.475097,-0.063991,E02000828,1.0,34.0,12934.0,879.0,U60094,SOUTH SOUTHWARK PCN,72Q
PALACE ROAD SURGERY,SW2 3DY,51.443797,-0.120602,E02000639,0.0,35.0,7011.0,1037.0,U99355,STREATHAM PCN,72Q
ST GILES SURGERY,SE5 7RF,51.474547,-0.084145,E02000826,1.0,18.0,6125.0,600.0,U60094,SOUTH SOUTHWARK PCN,72Q
VALLEY ROAD SURGERY,SW16 2XT,51.428616,-0.119398,E02000647,0.0,22.0,4907.0,769.0,U99355,STREATHAM PCN,72Q
HETHERINGTON GROUP PRACTICE,SW4 7NU,51.461034,-0.128301,E02000634,2.0,33.0,6849.0,1020.0,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q
LEE ROAD SURGERY,SE3 9RT,51.462503,0.009444,E02000661,1.0,98.0,10238.0,1858.0,U21222,LEWISHAM ALLIANCE PCN,72Q
KNIGHTS HILL SURGERY SUITE 1,SE27 0DF,51.432761,-0.105949,E02000645,1.0,38.0,10465.0,824.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
ELM LODGE SURGERY,SE24 9HJ,51.451506,-0.096207,E02000837,0.0,44.0,7757.0,1419.0,U60094,SOUTH SOUTHWARK PCN,72Q
OLD KENT ROAD SURGERY,SE1 5TY,51.490441,-0.081102,E02000821,2.0,21.0,9629.0,699.0,U06180,NORTH SOUTHWARK PCN,72Q
HURLEY AND RIVERSIDE PRACTICES,SE11 4HJ,51.490669,-0.10672,E02000619,1.0,42.0,21224.0,1909.0,U38045,NORTH LAMBETH PCN,72Q
LAMBETH WALK GROUP PRACTICE,SW9 6AF,51.475716,-0.105178,E02000622,1.0,49.0,6126.0,1156.0,U38045,NORTH LAMBETH PCN,72Q
ASHDOWN MEDICAL GROUP,BR1 5EP,51.426849,0.009836,E02006783,1.0,48.0,11034.0,1722.0,U58020,SEVENFIELDS PCN,72Q
WOOLSTONE MEDICAL CENTRE,SE23 2SG,51.43842,-0.03675,E02000676,0.0,39.0,8579.0,1111.0,U23546,APLOS HEALTH PCN,72Q
VASSALL MEDICAL CENTRE,SW9 6NA,51.477559,-0.108486,E02000622,1.0,31.0,6526.0,740.0,U41041,FIVEWAYS PCN,72Q
NEW CROSS CENTRE (HURLEY GROUP),SE14 6LD,51.476403,-0.031707,E02006798,2.0,22.0,8644.0,812.0,U53896,NORTH LEWISHAM PCN,72Q
SANDMERE PRACTICE,SW4 7QJ,51.462595,-0.127532,E02000632,2.0,29.0,11344.0,1274.0,U45098,CLAPHAM PCN,72Q
PENROSE SURGERY,SE17 3DW,51.487448,-0.097764,E02000818,3.0,35.0,14991.0,950.0,U06180,NORTH SOUTHWARK PCN,72Q
GROVE MEDICAL CENTRE,SE8 3QH,51.490256,-0.035201,E02000653,0.0,26.0,12362.0,779.0,U53896,NORTH LEWISHAM PCN,72Q
THE SOUTH LAMBETH RD PRACTICE,SW8 1UL,51.476571,-0.123648,E02000623,0.0,16.0,10191.0,815.0,U38045,NORTH LAMBETH PCN,72Q
SILVERLOCK MEDICAL CENTRE,SE16 3HA,51.485968,-0.063343,E02000824,5.0,17.0,16259.0,967.0,U06180,NORTH SOUTHWARK PCN,72Q
THE THREE ZERO SIX MEDICAL CENTRE,SE22 8LY,51.450741,-0.076377,E02000836,1.0,15.0,6246.0,496.0,U60094,SOUTH SOUTHWARK PCN,72Q
THE VALE SURGERY,SW16 5SE,51.417246,-0.136634,E02000652,1.0,52.0,9459.0,1119.0,U99355,STREATHAM PCN,72Q
BECKETT HOUSE PRACTICE,SW9 9DL,51.469491,-0.123521,E02000627,0.0,23.0,7935.0,594.0,U65434,STOCKWELLBEING PCN,72Q
GRAY'S INN MEDICAL GROUP VAUXHALL,SE11 5NH,51.489885,-0.118924,E02000620,1.0,15.0,8995.0,510.0,U38045,NORTH LAMBETH PCN,72Q
ICO HEALTH GROUP,BR1 5EP,51.426849,0.009836,E02006783,1.0,40.0,8507.0,1515.0,U42936,RAVENSBOURNE PCN LTD,72Q
VESTA ROAD SURGERY,SE4 2NH,51.468737,-0.040618,E02000662,0.0,11.0,6098.0,524.0,U53896,NORTH LEWISHAM PCN,72Q
CLAPHAM PARK GROUP PRACTICE,SW4 8JP,51.451908,-0.135209,E02000636,3.0,49.0,19740.0,1511.0,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q
WELLS PARK PRACTICE,SE26 6JQ,51.430522,-0.063099,E02000685,7.0,48.0,11570.0,1437.0,U23546,APLOS HEALTH PCN,72Q
STERNHALL LANE SURGERY,SE15 4NT,51.466772,-0.06741,E02000831,1.0,32.0,5796.0,637.0,U60094,SOUTH SOUTHWARK PCN,72Q
TRIANGLE GROUP PRACTICE,SE13 6DQ,51.457798,-0.011045,E02007009,3.0,28.0,5627.0,891.0,U21222,LEWISHAM ALLIANCE PCN,72Q
PARKVIEW SURGERY,SE6 1AT,51.444864,-0.007707,E02000674,6.0,76.0,9283.0,783.0,U58020,SEVENFIELDS PCN,72Q
BINFIELD ROAD SURGERY,SW4 6TB,51.474471,-0.125606,E02000623,0.0,35.0,9193.0,865.0,U65434,STOCKWELLBEING PCN,72Q
PARK MEDICAL CENTRE,SE16 2PE,51.492146,-0.049813,E02000813,0.0,25.0,5358.0,751.0,U06180,NORTH SOUTHWARK PCN,72Q
THE CORNER SURGERY,SE5 9NS,51.469673,-0.095724,E02000631,1.0,19.0,5931.0,475.0,U41041,FIVEWAYS PCN,72Q
THE DEERBROOK SURGERY,SE27 9AW,51.437861,-0.106026,E02000645,0.0,16.0,7131.0,503.0,U41041,FIVEWAYS PCN,72Q
MAWBEY GROUP PRACTICE,SW8 2UD,51.479284,-0.125207,E02000623,4.0,44.0,9162.0,979.0,U38045,NORTH LAMBETH PCN,72Q
TESSA JOWELL GP SURGERY,SE22 8EY,51.459235,-0.080511,E02000834,3.0,25.0,14304.0,1277.0,U60094,SOUTH SOUTHWARK PCN,72Q
THE LISTER PRIMARY CARE CENTRE,SE15 5LJ,51.474437,-0.075222,E02000825,2.0,20.0,8032.0,841.0,U60094,SOUTH SOUTHWARK PCN,72Q
MINET GREEN HEALTH PRACTICE,SW9 6AF,51.475716,-0.105178,E02000622,3.0,61.0,10312.0,1381.0,U41041,FIVEWAYS PCN,72Q
WATERLOO HEALTH CENTRE,SE1 7AE,51.500521,-0.113746,E02006801,1.0,31.0,14252.0,1116.0,U38045,NORTH LAMBETH PCN,72Q
BROCKWELL PARK SURGERY,SE24 9AE,51.448786,-0.101515,E02000642,0.0,24.0,8002.0,717.0,U60524,CROXTED PCN,72Q
ALBION STREET GROUP PRACTICE,SE16 7JX,51.501008,-0.050616,E02000813,5.0,42.0,13554.0,1303.0,U06180,NORTH SOUTHWARK PCN,72Q
BERMONDSEY SPA MEDICAL CENTRE,SE16 4BL,51.49695,-0.069462,E02000810,1.0,22.0,9910.0,951.0,U06180,NORTH SOUTHWARK PCN,72Q
THE VILLA STREET MEDICAL CENTRE,SE17 2EL,51.486566,-0.08828,E02000821,2.0,29.0,8506.0,650.0,U06180,NORTH SOUTHWARK PCN,72Q
NOVUM HEALTH PARTNERSHIP,SE6 4JH,51.449319,-0.018019,E02000672,5.0,83.0,18155.0,2262.0,U42936,RAVENSBOURNE PCN LTD,72Q
BLACKFRIARS MEDICAL PRACTICE,SE1 8EE,51.505365,-0.10575,E02000808,1.0,28.0,8741.0,807.0,U06180,NORTH SOUTHWARK PCN,72Q
THE GARDENS SURGERY,SE22 9QU,51.460629,-0.066834,E02000834,0.0,22.0,5467.0,750.0,U60094,SOUTH SOUTHWARK PCN,72Q
THE EXCHANGE SURGERY,SW16 2ST,51.432463,-0.126577,E02000646,1.0,25.0,6882.0,709.0,U99355,STREATHAM PCN,72Q
THE DULWICH MEDICAL CENTRE,SE22 9EP,51.455455,-0.072062,E02000834,0.0,22.0,6178.0,692.0,U60094,SOUTH SOUTHWARK PCN,72Q
THE STREATHAM HILL GROUP PRACTICE,SW16 2PG,51.437316,-0.126379,E02000646,1.0,27.0,6462.0,970.0,U99355,STREATHAM PCN,72Q
SPRINGFIELD MEDICAL CENTRE,SW8 2SH,51.470826,-0.133329,E02000625,1.0,11.0,6479.0,469.0,U65434,STOCKWELLBEING PCN,72Q
GRAFTON SQUARE SURGERY,SW4 0DE,51.464315,-0.139526,E02000630,0.0,11.0,6844.0,394.0,U45098,CLAPHAM PCN,72Q
THE LORDSHIP LANE SURGERY,SE22 8JN,51.448369,-0.073195,E02000838,2.0,14.0,4223.0,519.0,U60094,SOUTH SOUTHWARK PCN,72Q
THE NUNHEAD SURGERY,SE15 3LY,51.464088,-0.057921,E02000832,4.0,45.0,8274.0,1124.0,U60094,SOUTH SOUTHWARK PCN,72Q
HERNE HILL ROAD MEDICAL PRACTICE,SE24 0AU,51.46555,-0.10046,E02000631,1.0,17.0,6627.0,546.0,U41041,FIVEWAYS PCN,72Q
AKERMAN MEDICAL PRACTICE,SW9 6AF,51.475716,-0.105178,E02000622,1.0,171.0,6393.0,701.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
VALE MEDICAL CENTRE,SE23 2JF,51.435469,-0.043625,E02000679,2.0,72.0,16373.0,1184.0,U23546,APLOS HEALTH PCN,72Q
AMERSHAM VALE TRAINING PRACTICE,SE14 6LD,51.476403,-0.031707,E02006798,2.0,26.0,15175.0,858.0,U53896,NORTH LEWISHAM PCN,72Q
THE OLD DAIRY HEALTH CENTRE,SE21 8SZ,51.436586,-0.091201,E02000642,0.0,27.0,5185.0,803.0,U60524,CROXTED PCN,72Q
DR CURRAN & PARTNERS,SW4 6EB,51.465149,-0.136008,E02000629,1.0,30.0,9401.0,825.0,U45098,CLAPHAM PCN,72Q
DEPTFORD SURGERY,SE14 6TJ,51.474602,-0.027839,E02000657,0.0,11.0,11021.0,435.0,U53896,NORTH LEWISHAM PCN,72Q
THE LISTER PRACTICE,SE15 5LJ,51.474437,-0.075222,E02000825,5.0,26.0,10550.0,978.0,U60094,SOUTH SOUTHWARK PCN,72Q
OAKVIEW FAMILY PRACTICE,BR1 5NJ,51.429828,0.007047,E02006783,0.0,18.0,5885.0,526.0,U58020,SEVENFIELDS PCN,72Q
EAST STREET,SE17 2GN,51.487931,-0.085976,E02000821,2.0,25.0,5975.0,663.0,U06180,NORTH SOUTHWARK PCN,72Q
WOODLANDS HEALTH CENTRE,SE13 6RN,51.449858,-0.005791,E02000669,3.0,25.0,10680.0,739.0,U21222,LEWISHAM ALLIANCE PCN,72Q
EDITH CAVELL PRACTICE,SW2 4TP,51.441155,-0.124625,E02000643,2.0,33.0,18452.0,1139.0,U18315,AT MEDICS STREATHAM PCN,72Q
BRUNSWICK PARK FAMILY PRACTICE,SE5 7RF,51.474547,-0.084145,E02000826,0.0,22.0,6746.0,782.0,U60094,SOUTH SOUTHWARK PCN,72Q
NIGHTINGALE SURGERY,SE12 8NP,51.452782,0.009938,E02000668,3.0,23.0,6709.0,673.0,U21222,LEWISHAM ALLIANCE PCN,72Q
DEPTFORD MEDICAL CENTRE,SE14 6TG,51.474535,-0.027064,E02000657,2.0,10.0,4047.0,368.0,U53896,NORTH LEWISHAM PCN,72Q
PORTLAND MEDICAL CENTRE,SE25 4QB,51.392417,-0.066736,E02000207,3.0,93.0,13585.0,1573.0,U44012,KESTON MOORINGS & PARKSIDE PCN,36L
FARLEY ROAD MEDICAL PRACTICE,CR2 7NG,51.345803,-0.066472,E02000226,3.0,91.0,9147.0,2634.0,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L
UPPER NORWOOD GROUP PRACTICE,SE19 2NT,51.413307,-0.084794,E02000194,3.0,38.0,13484.0,1277.0,U33024,ONE THORNTON HEATH PCN,36L
NEW ADDINGTON GROUP PRACTICE,CR0 0JA,51.344382,-0.018557,E02000225,3.0,72.0,10794.0,1230.0,U30526,MAYDAY SOUTH PCN,36L
VIOLET LANE MEDICAL PRACTICE,CR0 4HN,51.360365,-0.107946,E02000221,3.0,94.0,9244.0,1312.0,U09071,GPNET5 PCN,36L
NORTHWAY ROAD SURGERY,CR0 6JJ,51.386562,-0.079242,E02000210,0.0,14.0,3540.0,543.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
NORBURY MEDICAL PRACTICE,SW16 4NL,51.404505,-0.122688,E02000197,3.0,102.0,9041.0,1573.0,U85744,PRIMARY CARE NORTH CROYDON PCN,36L
SOUTH NORWOOD HILL MEDICAL CENTRE,SE25 6BY,51.403169,-0.080746,E02000200,2.0,28.0,5749.0,945.0,U33024,ONE THORNTON HEATH PCN,36L
NORTH CROYDON MEDICAL CENTRE,CR7 7HQ,51.388313,-0.111163,E02000208,6.0,63.0,7187.0,737.0,U30526,MAYDAY SOUTH PCN,36L
ST JAMES MEDICAL CENTRE,CR0 2BZ,51.381806,-0.09308,E02000213,4.0,45.0,8263.0,1024.0,U92836,CROYDON LINK PCN,36L
OLD COULSDON MEDICAL PRACTICE,CR5 1HF,51.30662,-0.117803,E02000237,3.0,133.0,16082.0,3316.0,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L
QUEENHILL MEDICAL PRACTICE,CR2 8DU,51.344989,-0.066764,E02000226,2.0,89.0,5133.0,1744.0,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L
PARKSIDE GROUP PRACTICE,CR2 6EX,51.350644,-0.098523,E02000224,7.0,92.0,11653.0,2049.0,U44012,KESTON MOORINGS & PARKSIDE PCN,36L
KESTON MEDICAL PRACTICE,CR8 2YL,51.34074,-0.11444,E02000230,10.0,322.0,20742.0,3984.0,U44012,KESTON MOORINGS & PARKSIDE PCN,36L
BRIGSTOCK MEDICAL PRACTICE,CR7 7JN,51.3951,-0.109359,E02000202,3.0,113.0,11356.0,1935.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
SELSDON PARK MEDICAL PRACTICE,CR2 8LG,51.342408,-0.064547,E02000226,9.0,152.0,14255.0,3436.0,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L
FRIENDS ROAD MEDICAL PRACTICE,CR0 1ED,51.371276,-0.094796,E02006987,0.0,46.0,6436.0,1107.0,U09071,GPNET5 PCN,36L
EVERSLEY MEDICAL CENTRE,CR7 6AR,51.388513,-0.111888,E02000208,1.0,54.0,8862.0,1301.0,U30526,MAYDAY SOUTH PCN,36L
LONDON ROAD MEDICAL PRACTICE,CR7 6AR,51.388513,-0.111888,E02000208,3.0,34.0,4895.0,945.0,U30526,MAYDAY SOUTH PCN,36L
THORNTON HEATH MEDICAL CENTRE,CR7 8RL,51.397745,-0.096068,E02000203,4.0,52.0,4875.0,1001.0,U33024,ONE THORNTON HEATH PCN,36L
MORLAND ROAD SURGERY,CR0 6HA,51.381936,-0.083402,E02000215,3.0,52.0,5518.0,941.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
WOODCOTE MEDICAL,CR8 3EE,51.342242,-0.126281,E02000230,15.0,195.0,14419.0,3310.0,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L
ADDINGTON MEDICAL PRACTICE,CR0 0JA,51.344382,-0.018557,E02000225,7.0,58.0,8301.0,1445.0,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L
HARTLAND WAY SURGERY,CR0 8RG,51.374371,-0.045756,E02000219,0.0,37.0,3573.0,1321.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
BROOM ROAD MEDICAL PRACTICE,CR0 8NG,51.369777,-0.030248,E02000218,1.0,55.0,2786.0,469.0,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L
HALING PARK MEDICAL PRACTICE,CR2 6AD,51.357076,-0.098085,E02000222,0.0,29.0,3140.0,499.0,U09071,GPNET5 PCN,36L
ASHBURTON PARK MEDICAL CENTRE,CR0 7AG,51.384191,-0.06415,E02000207,3.0,28.0,4097.0,507.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
WHITEHORSE PRACTICE,CR0 2JJ,51.385869,-0.097366,E02000213,2.0,24.0,6233.0,785.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
AUCKLAND SURGERY,SE19 2DF,51.409529,-0.080897,E02000200,3.0,121.0,6457.0,1109.0,U33024,ONE THORNTON HEATH PCN,36L
STOVELL HOUSE SURGERY,CR0 6AH,51.378899,-0.075353,E02000215,0.0,47.0,6904.0,1438.0,U09071,GPNET5 PCN,36L
LEANDER FAMILY PRACTICE,CR7 6JE,51.399131,-0.117272,E02000204,3.0,63.0,8175.0,1143.0,U85744,PRIMARY CARE NORTH CROYDON PCN,36L
SHIRLEY MEDICAL CENTRE,CR0 8BH,51.375138,-0.044832,E02000219,0.0,75.0,5552.0,1882.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
EAST CROYDON MEDICAL CENTRE,CR0 6SD,51.37532,-0.087429,E02000215,5.0,120.0,23263.0,2387.0,U92836,CROYDON LINK PCN,36L
HEADLEY DRIVE SURGERY,CR0 0QL,51.353268,-0.015919,E02000225,2.0,8.0,2425.0,301.0,U30526,MAYDAY SOUTH PCN,36L
THORNTON ROAD & VALLEY PARK SURGERY,CR0 4YD,51.381956,-0.128023,E02000209,2.0,34.0,19166.0,1168.0,U30526,MAYDAY SOUTH PCN,36L
BRAMLEY AVENUE SURGERY,CR5 2DR,51.323233,-0.141681,E02000231,0.0,22.0,2233.0,626.0,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L
PARCHMORE MEDICAL CENTRE,CR7 8LY,51.401496,-0.100556,E02000198,4.0,91.0,12361.0,1992.0,U33024,ONE THORNTON HEATH PCN,36L
YOUR FAMILY PRACTICE,CR7 7JH,51.39729,-0.103533,E02000203,4.0,43.0,10340.0,1109.0,U85744,PRIMARY CARE NORTH CROYDON PCN,36L
MERSHAM MEDICAL CENTRE,CR7 8JN,51.40452,-0.096822,E02000198,0.0,31.0,4356.0,656.0,U33024,ONE THORNTON HEATH PCN,36L
SELHURST MEDICAL CENTRE,SE25 5QA,51.390075,-0.088927,E02000206,1.0,25.0,5607.0,442.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
FAIRVIEW MEDICAL CENTRE,SW16 5PX,51.410745,-0.124316,E02000197,2.0,59.0,7368.0,1086.0,U85744,PRIMARY CARE NORTH CROYDON PCN,36L
BIRDHURST MEDICAL PRACTICE,CR2 7DX,51.365206,-0.092591,E02006988,8.0,141.0,7047.0,964.0,U09071,GPNET5 PCN,36L
GREENSIDE GROUP PRACTICE,CR0 2UL,51.380747,-0.103154,E02000213,8.0,24.0,10677.0,741.0,U74798,CROYDON GP SUPER NETWORK PCN,36L
PARK ROAD SURGERY,TW11 0AU,51.423912,-0.334575,E02000804,4.0,96.0,10208.0,2343.0,U84150,HAMPTON PCN,36L
RICHMOND MEDICAL GROUP,SW14 8LP,51.465767,-0.267847,E02000788,4.0,146.0,14622.0,2972.0,U32828,SHEEN & BARNES PCN,36L
ACORN GROUP PRACTICE,TW1 4EA,51.447072,-0.329228,E02000797,1.0,64.0,5966.0,1491.0,U49896,TEDDINGTON PCN,36L
CANBURY MEDICAL CENTRE,KT2 6HR,51.414337,-0.297173,E02000601,1.0,35.0,8109.0,1582.0,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L
YORK MEDICAL PRACTICE,TW1 3PA,51.449369,-0.325675,E02000797,0.0,46.0,12943.0,2045.0,U96434,EAST TWICKENHAM PCN,36L
BRUNSWICK SURGERY,KT6 6EZ,51.390825,-0.299929,E02000610,2.0,55.0,7778.0,1210.0,U72231,SURBITON HEALTH CENTRE PCN,36L
GROVES MEDICAL CENTRE,KT3 3TX,51.410047,-0.262218,E02000605,2.0,240.0,13464.0,3067.0,U88126,NEW MALDEN & WORCESTER PARK PCN,36L
BROAD LANE SURGERY,TW12 3AX,51.422874,-0.368126,E02000806,0.0,30.0,5989.0,1240.0,U84150,HAMPTON PCN,36L
FAIRHILL MEDICAL PRACTICE,KT2 7PX,51.417069,-0.282848,E02000600,1.0,45.0,21338.0,1824.0,U52814,KINGSTON PCN,36L
ESSEX HOUSE SURGERY,SW13 0LW,51.472542,-0.247446,E02000786,2.0,54.0,11977.0,1791.0,U32828,SHEEN & BARNES PCN,36L
HOOK SURGERY,KT9 2GY,51.359148,-0.31206,E02000617,0.0,40.0,6405.0,1099.0,U19424,CHESSINGTON AND SURBITON PCN,36L
CHURCHILL MEDICAL CENTRE,KT2 6PG,51.413388,-0.288192,E02000600,2.0,61.0,15398.0,2238.0,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L
