practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
H85092,H85092,RIVERHOUSE MEDICAL PRACTICE,SW19 1YG,U77811,NORTH MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4208504,-0.1834733
H85095,H85095,ROBIN HOOD LANE HEALTH CENTRE,SM1 2RJ,U07607,CENTRAL SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.36299,-0.19701
H85100,H85100,ST PAULS COTTAGE SURGERY,SW19 6EW,U71206,BROCKLEBANK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.44329,-0.21772
H85101,H85101,GRAND DRIVE SURGERY,SW20 9EA,U44050,SOUTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4020678,-0.228715
H85105,H85105,CHEAM FAMILY PRACTICE,SM3 8BS,U92151,CHEAM AND SOUTH SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3583394,-0.2178572
H85111,H85111,BATTERSEA FIELDS PRACTICE,SW11 5JP,U42154,BATTERSEA PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.473498,-0.154739
H85112,H85112,VINEYARD HILL ROAD SURGERY,SW19 7JL,U52546,NORTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4322379,-0.2009341
H85113,H85113,MALDON ROAD SURGERY,SM6 8BL,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.36502,-0.14792
H85114,H85114,THURLEIGH ROAD PRACTICE,SW12 8TT,U02454,NIGHTINGALE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.452798,-0.1552413
H85115,H85115,SHOTFIELD MEDICAL PRACTICE,SM6 0HY,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3575141,-0.1508856
H85116,H85116,MANOR PRACTICE,SM6 0DE,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3622653,-0.1504834
H85618,H85618,JAMES O'RIORDAN MEDICAL CENTRE,SM3 9HE,U92151,CHEAM AND SOUTH SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3848972,-0.2130867
H85634,H85634,MERTON MEDICAL PRACTICE,SW19 1DG,U77811,NORTH MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4158957,-0.1856182
H85637,H85637,BALHAM HEALTH CENTRE,SW12 9HS,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4407927,-0.1490615
H85649,H85649,COLLIERS WOOD SURGERY,SW19 2BY,U77811,NORTH MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4208828,-0.1758101
H85653,H85653,WALLINGTON FAMILY PRACTICE,SM6 0HY,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3575141,-0.1508856
H85656,H85656,ALEXANDRA ROAD SURGERY,SW19 7JZ,U52546,NORTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4230308,-0.2055121
H85659,H85659,ST JOHNS HILL SURGERY,SW11 1SW,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4599324,-0.1793601
H85662,H85662,BEECHES SURGERY,SM5 3RB,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3583,-0.1713
H85664,H85664,TOOTING BEC SURGERY,SW17 7BA,U,Unallocated,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4362546,-0.1582019
H85680,H85680,TOOTING SOUTH MEDICAL CENTRE,SW17 9HQ,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4218238,-0.1613182
H85682,H85682,TUDOR LODGE HEALTH CENTRE,SW19 6AE,U97650,PRIME WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4468761,-0.2202338
H85686,H85686,GROVE ROAD PRACTICE,SM1 2DB,U07607,CENTRAL SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3581999,-0.20234
H85691,H85691,NIGHTINGALE PRACTICE,SW12 8NB,U02454,NIGHTINGALE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4492571,-0.159787
Y01132,Y01132,CHARTFIELD SURGERY,SW15 6HG,U97650,PRIME WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.457182,-0.2277805
Y01206,Y01206,GLEBE ROAD SURGERY,SW13 0DR,U32828,SHEEN & BARNES PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4736157,-0.2424789
Y02423,Y02423,GRAFTON MEDICAL PARTNERS,SW17 0RT,U78272,GRAFTON MEDICAL PARTNERS PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4248381,-0.1712943
Y02946,Y02946,JUNCTION HEALTH CENTRE,SW11 2NU,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4654682,-0.1707889
Y05317,Y05317,COUNTRY PARK PRACTICE,SE25 5NT,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3929922,-0.0677534
Y05318,Y05318,DENMARK ROAD SURGERY,SE25 5NT,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3929922,-0.0677534
G85104,G85104,ICO HEALTH GROUP,BR1 5EP,U42936,RAVENSBOURNE PCN LTD,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4271705,0.0094637
