practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G85013,G85013,CAMBERWELL GREEN SURGERY,SE5 7AF,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4745407,-0.0933737
G85014,G85014,STREATHAM COMMON PRACTICE,SW16 3NP,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.41862,-0.12667
G85015,G85015,THE QRP SURGERY,SE14 5HD,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4742473,-0.047161
G85016,G85016,HERNE HILL GROUP PRACTICE,SE24 9QP,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4558485,-0.0987073
G85019,G85019,TRAFALGAR SURGERY,SE15 6NR,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4864343,-0.0742731
G85020,G85020,KINGFISHER MEDICAL CENTRE,SE8 5DA,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4818799,-0.0305
G85021,G85021,PRENTIS MEDICAL CENTRE,SW16 1XU,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.43049,-0.13014
G85022,G85022,NORTH WOOD GROUP PRACTICE,SE19 3NY,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4234129,-0.0989966
G85023,G85023,LEWISHAM MEDICAL CENTRE,SE13 5PJ,U21222,LEWISHAM ALLIANCE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4585288,0.004467
G85024,G85024,SYDENHAM GREEN GROUP PRACTICE,SE26 4TH,U23546,APLOS HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.42918,-0.03921
G85025,G85025,BRIXTON HILL GROUP PRACTICE,SW2 1AE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4522162,-0.1203031
G85026,G85026,CLIFTON RISE FAMILY PRACTICE,SE8 4BG,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4768949,-0.0310493
G85028,G85028,STOCKWELL GROUP PRACTICE,SW9 9TJ,U65434,STOCKWELLBEING PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4680027,-0.1175571
