"ACH_DATE","ORG_TYPE","ORG_CODE","ONS_CODE","AREA_NAME","DEMENTIA_REGISTER_65_PLUS","DEMENTIA_ESTIMATE_65_PLUS","DIAG_RATE_65_PLUS","DIAG_RATE_65_PLUS_LL","DIAG_RATE_65_PLUS_UL","PAT_LIST_65_PLUS","Prevalence_65_PLUS_percent","Prevalence_65_PLUS_percent_LCI","Prevalence_65_PLUS_percent_UCI","ASS_Received_GP_Mem_Clinic","ASS_Received_GP","MemoryClinicPercent","MemoryClinicPercent_LCI","MemoryClinicPercent_UCI","DEM_REGISTER_WITH_ANTIPSYMEDS_ALL_AGES","DEMENTIA_REGISTER_ALL_AGES","AP_Percent","AP_Percent_LCI","AP_Percent_UCI","DIAG_Received_Care_Plan","CarePlansPercent","CarePlansPercent_LCI","CarePlansPercent_UCI"
2023-05-31,"ICB","QNX","E54000064","NHS SUSSEX ICB",17082,27264.7,62.7,56.5,68,400852,4.3,4.2,4.3,212,1564,13.6,11.9,15.3,1451,17529,8.3,7.9,8.7,11951,68.2,67.5,68.9
2023-05-31,"ICB","QR1","E54000043","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD",6116,9630.4,63.5,57.1,69.1,147326,4.2,4.1,4.3,57,812,7,5.5,9,588,6302,9.3,8.6,10.1,4318,68.5,67.4,69.7
2023-05-31,"ICB","QMF","E54000029","NHS NORTH EAST LONDON INTEGRATED CARE BOARD",7826,13122.6,59.6,53.4,64.9,220211,3.6,3.5,3.6,77,1252,6.2,4.9,7.6,726,8189,8.9,8.3,9.5,5947,72.6,71.6,73.6
2023-05-31,"ICB","QMJ","E54000028","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD",7754,11536.3,67.2,60.3,73.1,185463,4.2,4.1,4.3,41,425,9.6,7.2,12.8,588,7994,7.4,6.8,7.9,5648,70.7,69.6,71.6
2023-05-31,"ICB","QMM","E54000022","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD",10352,17559.4,59,53.1,64,265082,3.9,3.8,4,106,836,12.7,10.6,15.1,1235,10692,11.6,11,12.2,6566,61.4,60.5,62.3
2023-05-31,"ICB","QNC","E54000010","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",11066,15571.9,71.1,63.9,77.2,244809,4.5,4.4,4.6,128,1411,9.1,7.7,10.7,1001,11388,8.8,8.3,9.3,7907,69.4,68.6,70.3
2023-05-31,"ICB","QOC","E54000011","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",4426,7590.7,58.3,52.3,63.4,118619,3.7,3.6,3.8,28,221,12.7,8.9,17.7,379,4559,8.3,7.5,9.2,3092,67.8,66.5,69.2
2023-05-31,"ICB","QOP","E54000057","NHS GREATER MANCHESTER INTEGRATED CARE BOARD",20833,29607.3,70.4,63.2,76.4,484938,4.3,4.2,4.4,199,2585,7.7,6.7,8.8,1581,21629,7.3,7,7.7,15487,71.6,71,72.2
2023-05-31,"ICB","QOQ","E54000051","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD",14479,25164.5,57.5,51.7,62.4,395859,3.7,3.6,3.7,227,2095,10.8,9.6,12.2,1047,15035,7,6.6,7.4,10291,68.4,67.7,69.2
2023-05-31,"ICB","QOX","E54000040","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",7556,13120.3,57.6,51.8,62.6,200861,3.8,3.7,3.8,52,922,5.6,4.3,7.3,523,7750,6.7,6.2,7.3,5299,68.4,67.3,69.4
2023-05-31,"ICB","QPM","E54000059","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD",5414,8682.5,62.4,55.9,67.9,141050,3.8,3.7,3.9,36,720,5,3.6,6.8,603,5609,10.8,10,11.6,3712,66.2,64.9,67.4
2023-05-31,"ICB","QRL","E54000042","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD",16147,26610.6,60.7,54.7,65.8,400974,4,4,4.1,82,1460,5.6,4.5,6.9,1813,16591,10.9,10.5,11.4,10007,60.3,59.6,61.1
